Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
2,1562173887719,03/07/2019 17:11:27,1562173887673,1,03/07/2019 18:11:27,8449,8,task-jgum,,2760168,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2859.024999983376,/task/29849/3/asset/Dog.mp3,1
3,1562173889939,03/07/2019 17:11:29,1562173889903,1,03/07/2019 18:11:29,8449,8,task-jgum,,2760168,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2227.820000000065,/task/29849/3/asset/Owl.mp3,0
4,1562173892658,03/07/2019 17:11:32,1562173892631,1,03/07/2019 18:11:32,8449,8,task-jgum,,2760168,5cd29f34354f490012008194,765982,,complete,,5d1ce17202e942001c152615,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 74.0.3729.169,1280x800,1280x615,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2725.219999992987,/task/29849/3/asset/Goat.mp3,0
1,1562174025875,03/07/2019 17:13:45,1562174021623,1,03/07/2019 18:13:41,8449,8,task-jgum,,2760183,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,6967.8100000019185,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174029047,03/07/2019 17:13:49,1562174024860,1,03/07/2019 18:13:44,8449,8,task-jgum,,2760183,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3202.3449999978766,/task/29849/3/asset/Dog.mp3,1
3,1562174031408,03/07/2019 17:13:51,1562174027220,1,03/07/2019 18:13:47,8449,8,task-jgum,,2760183,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2357.5350000028266,/task/29849/3/asset/Owl.mp3,0
4,1562174032627,03/07/2019 17:13:52,1562174028451,1,03/07/2019 18:13:48,8449,8,task-jgum,,2760183,55d5c5d9db6a810011fa0658,765985,,complete,,5d1ce1be423416001515ac7a,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1228.7199999991572,/task/29849/3/asset/Goat.mp3,0
1,1562174179447,03/07/2019 17:16:19,1562174174112,1,03/07/2019 18:16:14,8449,8,task-jgum,,2760200,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,7230.665000039153,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562174183625,03/07/2019 17:16:23,1562174178301,1,03/07/2019 18:16:18,8449,8,task-jgum,,2760200,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4176.48999998346,/task/29849/3/asset/Dog.mp3,1
3,1562174193016,03/07/2019 17:16:33,1562174180982,1,03/07/2019 18:16:20,8449,8,task-jgum,,2760200,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2678.0900000594556,/task/29849/3/asset/Owl.mp3,0
4,1562174193456,03/07/2019 17:16:33,1562174183304,1,03/07/2019 18:16:23,8449,8,task-jgum,,2760200,597da07b2cce5b0001d0ecca,765987,,complete,,5d1ce24daf0ce7001bbb67bb,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1536x750,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2319.374999962747,/task/29849/3/asset/Goat.mp3,0
