Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,stimulus,button pressed
4,1562782404506,10/07/2019 18:13:24,1562782404441,1,10/07/2019 19:13:24,8835,5,task-jgum,,2796662,5a95887035237b0001125dfe,774240,,complete,,5d262977b28f470017f02277,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,2560x1440,2560x1298,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3894.1500000000815,/task/29849/3/asset/Goat.mp3,0
1,1562782539018,10/07/2019 18:15:39,1562782538084,-4,10/07/2019 14:15:38,8835,5,task-jgum,,2796691,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6979.309999995166,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562782543106,10/07/2019 18:15:43,1562782542112,-4,10/07/2019 14:15:42,8835,5,task-jgum,,2796691,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4025.18000001146,/task/29849/3/asset/Dog.mp3,1
3,1562782544887,10/07/2019 18:15:44,1562782544015,-4,10/07/2019 14:15:44,8835,5,task-jgum,,2796691,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1901.0750000015832,/task/29849/3/asset/Owl.mp3,0
4,1562782546543,10/07/2019 18:15:46,1562782545662,-4,10/07/2019 14:15:45,8835,5,task-jgum,,2796691,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1645.5100000021048,/task/29849/3/asset/Goat.mp3,0
1,1562782694672,10/07/2019 18:18:14,1562782667563,-6,10/07/2019 12:17:47,8835,5,task-jgum,,2796709,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,7666.755000000194,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562782699798,10/07/2019 18:18:19,1562782672755,-6,10/07/2019 12:17:52,8835,5,task-jgum,,2796709,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5176.930000000084,/task/29849/3/asset/Dog.mp3,1
3,1562782702344,10/07/2019 18:18:22,1562782675294,-6,10/07/2019 12:17:55,8835,5,task-jgum,,2796709,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2536.485000000086,/task/29849/3/asset/Owl.mp3,0
4,1562782706329,10/07/2019 18:18:26,1562782679301,-6,10/07/2019 12:17:59,8835,5,task-jgum,,2796709,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,4004.9449999999088,/task/29849/3/asset/Goat.mp3,0
1,1562799576124,10/07/2019 22:59:36,1562799576011,1,10/07/2019 23:59:36,8835,5,task-jgum,,2797786,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2179.3849999958184,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799579734,10/07/2019 22:59:39,1562799579689,1,10/07/2019 23:59:39,8835,5,task-jgum,,2797786,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,3673.67500000546,/task/29849/3/asset/Dog.mp3,1
3,1562799581234,10/07/2019 22:59:41,1562799581200,1,10/07/2019 23:59:41,8835,5,task-jgum,,2797786,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1507.7749999982188,/task/29849/3/asset/Owl.mp3,0
4,1562799582489,10/07/2019 22:59:42,1562799582457,1,10/07/2019 23:59:42,8835,5,task-jgum,,2797786,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1254.0050000025076,/task/29849/3/asset/Goat.mp3,0
1,1562799655910,10/07/2019 23:00:55,1562799654666,2,11/07/2019 01:00:54,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8495.049999999992,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799658628,10/07/2019 23:00:58,1562799657435,2,11/07/2019 01:00:57,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2763.155000000097,/task/29849/3/asset/Dog.mp3,1
3,1562799660315,10/07/2019 23:01:00,1562799659132,2,11/07/2019 01:00:59,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1692.7849999997306,/task/29849/3/asset/Owl.mp3,0
4,1562799662610,10/07/2019 23:01:02,1562799661450,2,11/07/2019 01:01:01,8835,5,task-jgum,,2797802,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2315.385000000333,/task/29849/3/asset/Goat.mp3,0
1,1562799678432,10/07/2019 23:01:18,1562799679825,-5,10/07/2019 18:01:19,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5660.570000298321,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799681002,10/07/2019 23:01:21,1562799682470,-5,10/07/2019 18:01:22,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2639.1000002622604,/task/29849/3/asset/Dog.mp3,1
3,1562799683158,10/07/2019 23:01:23,1562799684601,-5,10/07/2019 18:01:24,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2127.9500001110137,/task/29849/3/asset/Owl.mp3,0
4,1562799684923,10/07/2019 23:01:24,1562799686368,-5,10/07/2019 18:01:26,8835,5,task-jgum,,2797805,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1762.889999896288,/task/29849/3/asset/Goat.mp3,0
1,1562800028232,10/07/2019 23:07:08,1562800028932,-4,10/07/2019 19:07:08,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,56507.56999999794,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562800037772,10/07/2019 23:07:17,1562800038516,-4,10/07/2019 19:07:18,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9580.95499999763,/task/29849/3/asset/Dog.mp3,1
3,1562800044916,10/07/2019 23:07:24,1562800045676,-4,10/07/2019 19:07:25,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,7157.599999998638,/task/29849/3/asset/Owl.mp3,0
4,1562800047486,10/07/2019 23:07:27,1562800048212,-4,10/07/2019 19:07:28,8835,5,task-jgum,,2797834,5bfb362f8386580001ed52bd,774558,,complete,,5d266e6f7aa1bb0015b4e045,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2533.4599999987404,/task/29849/3/asset/Goat.mp3,0
1,1562799989874,10/07/2019 23:06:29,1562799989865,1,11/07/2019 00:06:29,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2422.35499999515,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1562799995425,10/07/2019 23:06:35,1562799995447,1,11/07/2019 00:06:35,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,5578.589999997348,/task/29849/3/asset/Dog.mp3,1
3,1562799997186,10/07/2019 23:06:37,1562799997238,1,11/07/2019 00:06:37,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1787.915000000794,/task/29849/3/asset/Owl.mp3,0
4,1562799999852,10/07/2019 23:06:39,1562799999877,1,11/07/2019 00:06:39,8835,5,task-jgum,,2797835,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2637.105000001611,/task/29849/3/asset/Goat.mp3,0
