Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,Question Key,Response
2,1562784000164,10/07/2019 18:40:00,1562783999311,-4,10/07/2019 14:39:59,8835,5,questionnaire-s6wr,,2796796,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562784000305,10/07/2019 18:40:00,1562783999312,-4,10/07/2019 14:39:59,8835,5,questionnaire-s6wr,,2796796,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,3466
1,1562784304650,10/07/2019 18:45:04,1562784277556,-6,10/07/2019 12:44:37,8835,5,questionnaire-s6wr,,2796816,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562784539742,10/07/2019 18:48:59,1562784512269,-6,10/07/2019 12:48:32,8835,5,questionnaire-s6wr,,2796816,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,"I'm not sure if this was purely visual or not, but during the fishing game, I felt that when I pressed Down at full speed, the clicks weren't all registering, I'm not sure if this is due to my keyboard not registering everything, or if there was some sort of cooldown time or if the fish was moving too fast to visually show every frame."
3,1562784539914,10/07/2019 18:48:59,1562784512271,-6,10/07/2019 12:48:32,8835,5,questionnaire-s6wr,,2796816,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,234715
1,1562800825212,10/07/2019 23:20:25,1562800825143,1,11/07/2019 00:20:25,8835,5,questionnaire-s6wr,,2797897,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562800826993,10/07/2019 23:20:26,1562800826945,1,11/07/2019 00:20:26,8835,5,questionnaire-s6wr,,2797897,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562800827071,10/07/2019 23:20:27,1562800826947,1,11/07/2019 00:20:26,8835,5,questionnaire-s6wr,,2797897,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,1804
1,1562800998439,10/07/2019 23:23:18,1562800999843,-5,10/07/2019 18:23:19,8835,5,questionnaire-s6wr,,2797914,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562801001190,10/07/2019 23:23:21,1562801002633,-5,10/07/2019 18:23:22,8835,5,questionnaire-s6wr,,2797914,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562801001379,10/07/2019 23:23:21,1562801002636,-5,10/07/2019 18:23:22,8835,5,questionnaire-s6wr,,2797914,5c7498dd2082fe0015f4d419,774545,,complete,,5d266d6d5b533b001701d5c9,computer,Desktop or Laptop,Mac OS 10.12.3,Chrome 73.0.3683.103,1280x800,1280x625,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,2794
1,1562801057444,10/07/2019 23:24:17,1562801056243,2,11/07/2019 01:24:16,8835,5,questionnaire-s6wr,,2797920,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562801069581,10/07/2019 23:24:29,1562801068423,2,11/07/2019 01:24:28,8835,5,questionnaire-s6wr,,2797920,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,make it less tiring xD
3,1562801069689,10/07/2019 23:24:29,1562801068424,2,11/07/2019 01:24:28,8835,5,questionnaire-s6wr,,2797920,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,12182
1,1562801277340,10/07/2019 23:27:57,1562801277330,1,11/07/2019 00:27:57,8835,5,questionnaire-s6wr,,2797931,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,BEGIN QUESTIONNAIRE,
2,1562801281793,10/07/2019 23:28:01,1562801281838,1,11/07/2019 00:28:01,8835,5,questionnaire-s6wr,,2797931,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,feedback,
3,1562801281888,10/07/2019 23:28:01,1562801281840,1,11/07/2019 00:28:01,8835,5,questionnaire-s6wr,,2797931,5ae5e66d3ab2fb0001ef2f3c,774562,,complete,,5d266ee04b1567001517d4a1,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Feedback,2,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,END QUESTIONNAIRE,4510
