Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5
2,1562782568919,10/07/2019 18:16:08,1562782568043,-4,10/07/2019 14:16:08,8835,5,task-fdef,,2796694,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562782580881,10/07/2019 18:16:20,1562782580003,-4,10/07/2019 14:16:20,8835,5,task-fdef,,2796694,5c3cd0b4486a390001e86330,774245,,complete,,5d2629c0cba1f900011c5d51,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562782713518,10/07/2019 18:18:33,1562782686419,-6,10/07/2019 12:18:06,8835,5,task-fdef,,2796710,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562782736568,10/07/2019 18:18:56,1562782709526,-6,10/07/2019 12:18:29,8835,5,task-fdef,,2796710,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562782745501,10/07/2019 18:19:05,1562782718432,-6,10/07/2019 12:18:38,8835,5,task-fdef,,2796710,5bd781291fd7c80001bb1fad,774256,,complete,,5d2629aeebd0a900169fcb6b,computer,Desktop or Laptop,Windows 8.1,Chrome 75.0.3770.100,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562799588341,10/07/2019 22:59:48,1562799588260,1,10/07/2019 23:59:48,8835,5,task-fdef,,2797788,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562799596391,10/07/2019 22:59:56,1562799596330,1,10/07/2019 23:59:56,8835,5,task-fdef,,2797788,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562799608439,10/07/2019 23:00:08,1562799608401,1,11/07/2019 00:00:08,8835,5,task-fdef,,2797788,5c56550e54f9d30001db7f50,774543,,complete,,5d266d4d6d044f0017d330a5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1824x977,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562799669166,10/07/2019 23:01:09,1562799667936,2,11/07/2019 01:01:07,8835,5,task-fdef,,2797803,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562799701438,10/07/2019 23:01:41,1562799700239,2,11/07/2019 01:01:40,8835,5,task-fdef,,2797803,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
