Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5,reaction time,key pressed,builtin rt,end_time,start_time,
29,1562799862792,10/07/2019 23:04:22,1562799861621,2,11/07/2019 01:04:21,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2,40,0.16000000006170012,1562799861519,1562799861517,
30,1562799863057,10/07/2019 23:04:23,1562799861891,2,11/07/2019 01:04:21,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,168,40,166.49499999993714,1562799861790,1562799861622,
31,1562799863245,10/07/2019 23:04:23,1562799862076,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,80,40,79.60499999990861,1562799861974,1562799861894,
32,1562799863354,10/07/2019 23:04:23,1562799862196,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,15,40,14.179999999672873,1562799862094,1562799862079,
33,1562799863542,10/07/2019 23:04:23,1562799862389,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,89,40,88.37500000027649,1562799862287,1562799862198,
34,1562799863748,10/07/2019 23:04:23,1562799862582,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,87,40,86.54499999966356,1562799862478,1562799862391,
35,1562799863857,10/07/2019 23:04:23,1562799862692,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,6,40,5.520000000164146,1562799862590,1562799862584,
36,1562799863983,10/07/2019 23:04:23,1562799862820,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,25,40,24.539999999891734,1562799862719,1562799862694,
37,1562799864092,10/07/2019 23:04:24,1562799862926,2,11/07/2019 01:04:22,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,2,40,0.21500000002561137,1562799862825,1562799862823,
38,1562799864279,10/07/2019 23:04:24,1562799863116,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,87,40,85.90000000003783,1562799863014,1562799862927,
39,1562799864467,10/07/2019 23:04:24,1562799863307,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,88,40,87.19500000006519,1562799863206,1562799863118,
40,1562799864599,10/07/2019 23:04:24,1562799863428,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,17,40,16.43999999987136,1562799863326,1562799863309,
41,1562799864770,10/07/2019 23:04:24,1562799863532,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,1,40,0.1750000001193257,1562799863431,1562799863430,
42,1562799864910,10/07/2019 23:04:24,1562799863740,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,105,40,104.31500000004598,1562799863638,1562799863533,
43,1562799865021,10/07/2019 23:04:25,1562799863851,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8,40,7.589999999705469,1562799863750,1562799863742,
44,1562799865129,10/07/2019 23:04:25,1562799863963,2,11/07/2019 01:04:23,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,9,40,8.19000000001688,1562799863862,1562799863853,
45,1562799865238,10/07/2019 23:04:25,1562799864076,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,10,40,9.47499999984575,1562799863974,1562799863964,
46,1562799865348,10/07/2019 23:04:25,1562799864188,2,11/07/2019 01:04:24,8835,5,task-cz44,,2797819,5c241d69da51990001e23776,774546,,complete,,5d266d73d0021100197f29f5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1080,1920x937,after questionnairs,Post Max Tapping Instructions and Training,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept,8,40,7.820000000268919,1562799864086,1562799864078,
