Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,choice made,reaction time
1,1555522762687,17/04/2019 17:39:22,1555522762597,-4,17/04/2019 13:39:22,6138,39,task-uvof,,2476219,5c48d9b3cd853b0001287890,683284,,complete,,5cb75e7ba0ce730017257083,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",7991.169999993872
2,1555522769652,17/04/2019 17:39:29,1555522769612,-4,17/04/2019 13:39:29,6138,39,task-uvof,,2476219,5c48d9b3cd853b0001287890,683284,,complete,,5cb75e7ba0ce730017257083,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",7010.955000005197
3,1555522780500,17/04/2019 17:39:40,1555522780460,-4,17/04/2019 13:39:40,6138,39,task-uvof,,2476219,5c48d9b3cd853b0001287890,683284,,complete,,5cb75e7ba0ce730017257083,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",10843.869999982417
4,1555522787626,17/04/2019 17:39:47,1555522786740,-4,17/04/2019 13:39:46,6138,39,task-uvof,,2476219,5c48d9b3cd853b0001287890,683284,,complete,,5cb75e7ba0ce730017257083,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1920x1080,1920x937,after questionnairs,Pleasure,5,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Disagree""}",6275.984999985667
1,1555523526816,17/04/2019 17:52:06,1555523525263,1,17/04/2019 18:52:05,6138,39,task-uvof,,2476277,5c5dd242c9735b00010cf9db,683308,,complete,,5cb76158e3ca77000172290a,computer,Desktop or Laptop,Windows 8.1,Chrome 73.0.3683.103,1600x900,1600x794,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree"",""Q3"":""Agree""}",17408.10999999985
2,1555523539360,17/04/2019 17:52:19,1555523537851,1,17/04/2019 18:52:17,6138,39,task-uvof,,2476277,5c5dd242c9735b00010cf9db,683308,,complete,,5cb76158e3ca77000172290a,computer,Desktop or Laptop,Windows 8.1,Chrome 73.0.3683.103,1600x900,1600x794,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",12556.230000000141
3,1555523557126,17/04/2019 17:52:37,1555523555608,1,17/04/2019 18:52:35,6138,39,task-uvof,,2476277,5c5dd242c9735b00010cf9db,683308,,complete,,5cb76158e3ca77000172290a,computer,Desktop or Laptop,Windows 8.1,Chrome 73.0.3683.103,1600x900,1600x794,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Disagree"",""Q1"":""Agree"",""Q2"":""Disagree"",""Q3"":""Disagree""}",17728.175000000192
4,1555523566458,17/04/2019 17:52:46,1555523564923,1,17/04/2019 18:52:44,6138,39,task-uvof,,2476277,5c5dd242c9735b00010cf9db,683308,,complete,,5cb76158e3ca77000172290a,computer,Desktop or Laptop,Windows 8.1,Chrome 73.0.3683.103,1600x900,1600x794,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Agree""}",9288.604999999734
1,1555523950966,17/04/2019 17:59:10,1555523947723,1,17/04/2019 18:59:07,6138,39,task-uvof,,2476288,5b61a193adb684000126749f,683302,,complete,,5cb757017e6de000013dbc6c,computer,Desktop or Laptop,Windows 7,Firefox 66.0,1920x1080,1297x728,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree"",""Q3"":""Strongly agree""}",18735
2,1555523969193,17/04/2019 17:59:29,1555523965759,1,17/04/2019 18:59:25,6138,39,task-uvof,,2476288,5b61a193adb684000126749f,683302,,complete,,5cb757017e6de000013dbc6c,computer,Desktop or Laptop,Windows 7,Firefox 66.0,1920x1080,1297x728,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Agree"",""Q3"":""Disagree""}",18016
3,1555523991034,17/04/2019 17:59:51,1555523987858,1,17/04/2019 18:59:47,6138,39,task-uvof,,2476288,5b61a193adb684000126749f,683302,,complete,,5cb757017e6de000013dbc6c,computer,Desktop or Laptop,Windows 7,Firefox 66.0,1920x1080,1297x728,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Agree"",""Q1"":""Agree"",""Q2"":""Strongly agree"",""Q3"":""Agree""}",22085
4,1555524005302,17/04/2019 18:00:05,1555524002106,1,17/04/2019 19:00:02,6138,39,task-uvof,,2476288,5b61a193adb684000126749f,683302,,complete,,5cb757017e6de000013dbc6c,computer,Desktop or Laptop,Windows 7,Firefox 66.0,1920x1080,1297x728,after questionnairs,Pleasure,5,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,"{""Q0"":""Strongly agree"",""Q1"":""Strongly agree"",""Q2"":""Strongly agree""}",14231
