Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
2,1554475184183,05/04/2019 14:39:44,1554475184060,1,05/04/2019 15:39:44,6138,39,task-jgum,,2417136,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,2699.044999986654,/task/29849/3/asset/Dog.mp3,1
3,1554475185840,05/04/2019 14:39:45,1554475185746,1,05/04/2019 15:39:45,6138,39,task-jgum,,2417136,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1676.1049999913666,/task/29849/3/asset/Owl.mp3,0
4,1554475187091,05/04/2019 14:39:47,1554475187002,1,05/04/2019 15:39:47,6138,39,task-jgum,,2417136,5a7a0d8df49c9a0001f31b73,668246,,complete,,5ca7682ac9c35900172800b9,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.121,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1244.0449999994598,/task/29849/3/asset/Goat.mp3,0
1,1554475165207,05/04/2019 14:39:25,1554475165107,1,05/04/2019 15:39:25,6138,39,task-jgum,,2417137,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,11572.990000015125,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475173708,05/04/2019 14:39:33,1554475173667,1,05/04/2019 15:39:33,6138,39,task-jgum,,2417137,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,8556.610000086948,/task/29849/3/asset/Dog.mp3,0
3,1554475177857,05/04/2019 14:39:37,1554475177827,1,05/04/2019 15:39:37,6138,39,task-jgum,,2417137,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,4157.794999890029,/task/29849/3/asset/Owl.mp3,0
4,1554475179599,05/04/2019 14:39:39,1554475179555,1,05/04/2019 15:39:39,6138,39,task-jgum,,2417137,5ca606a5614b7b0015be495e,668244,,complete,,5ca768217ea4a700019a709b,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x937,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1725.6400000769645,/task/29849/3/asset/Goat.mp3,0
1,1554475179255,05/04/2019 14:39:39,1554475178629,1,05/04/2019 15:39:38,6138,39,task-jgum,,2417142,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,11808.325000000195,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1554475182916,05/04/2019 14:39:42,1554475182337,1,05/04/2019 15:39:42,6138,39,task-jgum,,2417142,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3704.0050000000538,/task/29849/3/asset/Dog.mp3,1
3,1554475185870,05/04/2019 14:39:45,1554475185274,1,05/04/2019 15:39:45,6138,39,task-jgum,,2417142,5c235c04a74d6400016e4179,668249,,complete,,5ca768470aa7300001f4ecb2,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1920x1080,1920x1009,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2933.7249999998676,/task/29849/3/asset/Owl.mp3,0
