Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4
1,1554475358132,05/04/2019 14:42:38,1554475357971,1,05/04/2019 15:42:37,6138,39,task-cukw,,2417185,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475371212,05/04/2019 14:42:51,1554475371031,1,05/04/2019 15:42:51,6138,39,task-cukw,,2417185,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475382658,05/04/2019 14:43:02,1554475382142,1,05/04/2019 15:43:02,6138,39,task-cukw,,2417185,5c87c7dcd810a700149dce60,668253,,complete,,5ca768a878958e0016c4f3f5,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1280x720,1280x610,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475659262,05/04/2019 14:47:39,1554475659180,1,05/04/2019 15:47:39,6138,39,task-cukw,,2417240,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475671367,05/04/2019 14:47:51,1554475671354,1,05/04/2019 15:47:51,6138,39,task-cukw,,2417240,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475683185,05/04/2019 14:48:03,1554475683144,1,05/04/2019 15:48:03,6138,39,task-cukw,,2417240,5c86d8c5332a8d0001e9577a,668262,,complete,,5ca769f52c8cb00001d1bc14,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 73.0.3683.86,1680x1050,1616x824,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475728840,05/04/2019 14:48:48,1554475728491,1,05/04/2019 15:48:48,6138,39,task-cukw,,2417253,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x592,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
2,1554475744966,05/04/2019 14:49:04,1554475744265,1,05/04/2019 15:49:04,6138,39,task-cukw,,2417253,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x720,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
3,1554475755098,05/04/2019 14:49:15,1554475754826,1,05/04/2019 15:49:14,6138,39,task-cukw,,2417253,5bf555e5d944c300012622c7,668263,,complete,,5ca769f9c397ff001523ce18,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.103,1440x900,1152x720,after questionnairs,Pre Max Tapping Instruction,6,High to Low,after consent,after demographics,after training,after fishing,after questionnairs
1,1554475875383,05/04/2019 14:51:15,1554475874002,-7,05/04/2019 07:51:14,6138,39,task-cukw,,2417269,5c91c1524537020016fb17e9,668267,,complete,,5ca76a22f7c8550017428f91,computer,Desktop or Laptop,Windows 10,Chrome 73.0.3683.86,1366x768,1366x657,after questionnairs,Pre Max Tapping Instruction,6,Low to High,after consent,after demographics,after training,after fishing,after questionnairs
